floor,brand,name,product_code,matched_name,matched_brand,match_status,match_method,match_score,image,url
1F,FLOS,Bonjour Unplugged,P00000LO,Bonjour Unplugged,FLOS,matched,product_code,1,https://inscale.co.kr/web/product/big/202309/34933400b6d3ea91726daa3ff4ee2817.jpg,https://inscale.co.kr/product/bonjour-unplugged/300/category/91/display/1/
1F,CASSINA,DUDET Bold Sofa,P0000BGC,DUDET Bold Sofa,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/11d18ec4e0b19658143c4c690ec38678.jpg,https://inscale.co.kr/product/detail.html?product_no=834
1F,CASSINA,"En forme libre
Low Table -
Midnight Blue",P0000BGD,En forme libre Low Table Midnight Blue,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/56b9d65c240b4dab1441298ac7d2b73d.jpg,https://inscale.co.kr/product/detail.html?product_no=835
1F,CASSINA,Mokoro,P0000BGE,Mokoro,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/ec94757d256781b30f29b2ab2c0bafff.jpg,https://inscale.co.kr/product/detail.html?product_no=836
1F,CASSINA,Sahara - Midgrid,P00000RJ,Sahara - Midgrid,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202311/b7c74bd1ce3a617d5e10cec186781b86.jpg,https://inscale.co.kr/product/sahara-midgrid/451/category/87/display/1/
1F,CASSINA x KARAKTER,SCARPA 925 Lounge Chair Naturale,P0000BEX,SCARPA 925,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/e577157ed95b350fdf90df6f9b2f1cf2.jpg,https://inscale.co.kr/product/detail.html?product_no=803
1F,CASSINA x KARAKTER,SCARPA 121 Bordeaux,P0000BAG,SCARPA 121,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202504/f4be5a04c006ed6f9352ed3430936929.jpg,https://inscale.co.kr/product/scarpa-121/682/category/87/display/1/
1F,CASSINA x KARAKTER,"SCARPA 121 
Blu",P0000BEW,SCARPA 121,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/4d145be26af3ca5b17ccc57144dcd464.jpg,https://inscale.co.kr/product/scarpa-121-blu/802/category/87/display/1/
1F,CASSINA,Starburst,P00000SM,Starburst,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202311/f0a52cc3ca923b4951b90177e7e12788.jpg,https://inscale.co.kr/product/starburst/480/category/87/display/1/
1F,CASSINA,"Treflo Oval table 
(Comfort)",P0000BDJ,Treflo Oval table (Comfort),CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/61e052f1185a6c6b42611571edf885d3.jpg,https://inscale.co.kr/product/treflo-oval-table-comfort/763/category/87/display/1/
1F,CASSINA,Sestiere - Topaz / Periwinkle,P00000ST,Sestiere - Topaz / Periwinkle,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202312/576aa12ddbe793f8ecb0680fcffab910.jpg,https://inscale.co.kr/product/sestiere/487/category/118/display/1/
1F,CASSINA,"FF.SPINE 
WALL-MOUNTED",P0000BFX,FF.SPINE WALL-MOUNTED,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/b3f73f6a606bdb97aff14ec5b096f9d2.jpg,https://inscale.co.kr/product/detail.html?product_no=829
1F,CASSINA,Petit bureau en forme libre,P00000,Petit bureau en forme libre,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/49805d9b572647d3be92db534c3f05e5.jpg,https://inscale.co.kr/product/petit-bureau-en-forme-libre/479/category/87/display/1/
1F,CASSINA,CAB 412 - Cuoio Sfumato(Hand Shaded),P00000SB,CAB 412 - Cuoio Sfumato,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202311/0edb847a62cb738652c20fe42b288e34.jpg,https://inscale.co.kr/product/cab-412/469/category/87/display/1/
1F,CASSINA,Capitol Armchair,P00000OV,Capitol Armchair - Ambra,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202309/48316a12d079685a000c72a20ee8f9ff.jpg,https://inscale.co.kr/product/capitol-armchair/385/category/87/display/1/
1F,CASSINA,9 Side Table Glass/Black Marquina Marble,P0000BGV,,,new_or_unmatched,not_found,,https://inscale.co.kr/web/product/big/202309/6a97d394d55928aac4b70f85bf5ffb0f.jpg,https://inscale.co.kr/product/9-side-table/521/category/115/display/1/
1F,Vibia,"Wireflow Lineal
0325
[단종]",,,,new_or_unmatched,not_found,,https://assets.vibia.com/wireflow_card_us_72da319115.webp,
1F,NEMO,"CLARITAS
[단종]",,,,new_or_unmatched,not_found,,https://www.nemolighting.com/wp-content/uploads/2019/07/cover-121.jpg,
1F,CASSINA,"ZIGZAG
White",P00000SF,ZigZag - Ashwood Stained White,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202311/169d60a7b770c42dd4ccfb36c7052831.jpg,https://inscale.co.kr/product/zigzag/473/category/87/display/1/
1F,CASSINA,"ZIGZAG
Yellow",P00000SE,ZigZag,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202311/ca2cda91b7592f12b78c33283d6d96cd.jpg,https://inscale.co.kr/product/zigzag/472/category/87/display/1/
1F,Karakter,Awkward Floor Lamp,P00000YR,Awkward Floor Lamp,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202409/e7f0a8345835c7d58b534d14950be263.jpg,https://inscale.co.kr/product/awkward-floor-lamp/641/category/110/display/1/
1F,CAPPELLINI,Drop,,,,new_or_unmatched,not_found,,https://www.cappellini.com/content/dam/ld/cappellini/products/d/r/o/drop/01_hero/drop.jpg/jcr:content/renditions/cq5dam.thumbnail.2200.2200.jpg,
1F,CASSINA,Constantin,P00000RS,Constantin,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202311/94d3daedd8610c788b2f1155cf76fd73.jpg,https://inscale.co.kr/product/constantin/460/category/87/display/1/
1F,CASSINA,HAYAMA,P0000BDV,HAYAMA,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/0ee6e4f6ea84902322d8ebe0e71276a4.jpg,https://inscale.co.kr/product/detail.html?product_no=775
1F,VITRA,Vases Decoupage Barre,P00000IC,Vases Decoupage Barre,VITRA,matched,product_code,1,https://inscale.co.kr/web/product/big/202308/d4a6a070d1993a604025c75ba5b0e505.jpg,https://inscale.co.kr/product/vases-decoupage-barre/210/category/118/display/1/
1F,NEMO,CROWN MINOR 12 WHITE,,,,new_or_unmatched,not_found,,https://www.nemolighting.com/wp-content/uploads/2019/07/crown-minor-white-1280x1280.jpg,
1F,Ritzwell,"JABARA 
Sideboard Oak",P0000BAZ,JABARA,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202508/c04ca98bc9aab7acd142cd613205e1d5.jpg,https://inscale.co.kr/product/jabara-sideboard-oak/701/category/110/display/1/
1F,ARTEMIDE,ONFALE,P00000NO,Onfale Grande,ARTEMIDE,matched,product_code,1,https://inscale.co.kr/web/product/big/202309/50f5171f626c242cdea0f93d90624034.jpg,https://inscale.co.kr/product/onfale-grande/352/category/90/display/1/
1F,CASSINA,Deadline Mirror - Blue Deadline,P00000UU,Deadline Mirror - Blue Deadline,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202312/af899e6c93cb7a8f9cb33c8918da985d.jpg,https://inscale.co.kr/product/deadline-mirror/540/category/87/display/1/
2F,CASSINA,ZIGZAG - Blue,,,,new_or_unmatched,not_found,,https://inscale.co.kr/web/product/big/202311/0821110d4a02c5d5fadc0b02e3352fc0.jpg,https://inscale.co.kr/product/zigzag/471/category/87/display/1/
2F,Santa & Cole,C1 WALL rotating LED,,,,new_or_unmatched,not_found,,http://www.spatial-lighting.co.uk/u/shop/SP001739a_lrg.jpg,http://www.spatial-lighting.co.uk/p/blancowhite-c1-wall-rotating
2F,CASSINA,Otero Mirror,,Otero Mirror,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/1fe5585f823464d95f33113612f75db5.jpg,https://inscale.co.kr/product/otero-mirror/486/category/87/display/1/
2F,CASSINA,LC3 3 Seater Sofa Grade-Y TABACCO,,,,new_or_unmatched,not_found,,https://inscale.co.kr/web/product/big/202606/03942bf4b4e6d27c9424ecffd751bb64.jpg,https://inscale.co.kr/product/lc3-sofa/633/category/87/display/1/
2F,CASSINA,LC3 Armchair Grade-Y TABACCO,,,,new_or_unmatched,not_found,,https://inscale.co.kr/web/product/big/202409/006d4dd785a04d40988382b90b7b63ab.jpg,https://inscale.co.kr/product/lc3-armchair/635/category/87/display/1/
2F,CASSINA,Modular Imagination,,Modular Imagination,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202410/10d6da73ba4f2a23cf0b148f0f238509.jpg,https://inscale.co.kr/product/modular-imagination/658/category/87/display/1/
2F,CASSINA,"Tabouret Meribel - 
American Walnut",,Tabouret Meribel - American Walnut,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202312/a9f4c96614502a7fe488c57fecbad82f.jpg,https://inscale.co.kr/product/tabouret-meribel/552/category/87/display/1/
2F,CASSINA,Tabouret Meribel - Natural Oak,,Tabouret Meribel - Natural Oak,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/01eca97dacd009020e622a76e0b6c812.jpg,https://inscale.co.kr/product/tabouret-meribel-natural-oak/476/category/87/display/1/
2F,CASSINA,"Tabouret Meribel - 
Oak Stained Black",,Tabouret Meribel - Oak Stained Black,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202311/7f7b5ae91e417c57dadf758f1ecb48f6.jpg,https://inscale.co.kr/product/tabouret-meribel-oak-stained-black/475/category/87/display/1/
2F,CASSINA,"Tabouret Berger - 
American Walnut",,Tabouret Berger - American Walnut,CASSINA,matched,strict_name,1.0,https://inscale.co.kr/web/product/big/202312/470c438f02e58b06dda565f4fae8fc39.jpg,https://inscale.co.kr/product/tabouret-berger-american-walnut/551/category/87/display/1/
